Date,Society 1,Society 2,Area,Zone,Week Number,Standard,Flat Count
To be decided,Ishan Srushti,Ishan Srushti,Warje,Central,To be decided,Medium,200
To be decided,Tinsel County,Tinsel County,Hinjewadi,West,To be decided,Medium,300
To be decided,Aishwaryam hamara,Aishwaryam hamara,Moshi,North,To be decided,Angel,1100
To be decided,High Mont,High Mont,Hinjewadi,West,To be decided,Medium,450
To be decided,Ruturang,Ruturang,Kothrud,Central,To be decided,Medium,200
To be decided,Shiv Sai Paradise,Shiv Sai Paradise,Thane,Thane,To be decided,,375
To be decided,Hiranandani Meadows-Mayflower,Hiranandani Meadows-Mayflower,Thane,Thane,To be decided,,300
To be decided,Chaurang Terrace,Chaurang Terrace,Phursungi,East,To be decided,Worst,100
To be decided,Green County,Green County,Phursungi,East,To be decided,Medium,100
To be decided,Sancheti Belcastle,Sancheti Belcastle,Mundhwa,East,To be decided,Medium,100
To be decided,PGD Pinnacle,PGD Pinnacle,Mundhwa,East,To be decided,Worst,100
To be decided,Rajveer Palace,Rajveer Palace,Pimple Saudagar,West,To be decided,Medium,200
To be decided,S3 Lifestyle apartment,S3 Lifestyle apartment,Pimple Saudagar,West,To be decided,Medium,200
To be decided,Capitol Towers,Capitol Towers,Wakad,West,To be decided,Worst,200
To be decided,Megapolis-Sunway,Megapolis-Sunway,Hinjewadi,West,To be decided,Angel,1100
To be decided,Megapolis-Sparklet,Megapolis-Sparklet,Hinjewadi,West,To be decided,Angel,1100
To be decided,Sai residency,Sai residency,Lohegao,North,To be decided,Medium,120
To be decided,Nyati Equatorial,Nyati Equatorial,Bavdhan,West,To be decided,Medium,300
To be decided,Comfort Zone,Comfort Zone,Baner,West,To be decided,Medium,500
To be decided,Blue Ridge-C tower,Blue Ridge-C tower,Hinjewadi,West,To be decided,Medium,650
To be decided,KUL Echoluch,KUL Echoluch,Hinjewadi,West,To be decided,Worst,700
To be decided,Rohit walimbe Online,Rohit walimbe Online,Baner,West,To be decided,Medium,0
To be decided,Life Republic-R3,Life Republic-R3,Hinjewadi,West,To be decided,Medium,600
To be decided,Life Republic-R4,Life Republic-R4,Hinjewadi,West,To be decided,Angel,800
To be decided,Life Republic-R7,Life Republic-R7,Hinjewadi,West,To be decided,Angel,800
To be decided,Karan Palms+Greens,Karan Palms+Greens,Warje,Central,To be decided,Medium,300
To be decided,umang premier,umang premier,Wagholi,North,To be decided,Worst,800
To be decided,River Residency phase 3 ,River Residency phase 3 ,Moshi,North,To be decided,Medium,466
To be decided,Krystal City,Krystal City,Moshi,North,To be decided,Medium,300
To be decided,Blue Ridge-Unit A,Blue Ridge-Unit A,Hinjewadi,West,To be decided,Angel,800
To be decided,Karishma Soc,Karishma Soc,Kothrud,Central,To be decided,Medium,400
To be decided,Elementa,Elementa,Wakad,West,To be decided,Angel,900
To be decided,Gangadham Phase 2,Gangadham Phase 2,Bibwewadi,Central,To be decided,Medium,740
To be decided,State Bank Nagar-,State Bank Nagar-,Bibwewadi,Central,To be decided,Worst,300
To be decided,Sun Satellite,Sun Satellite,Sinhagad road,Central,To be decided,Medium,181
To be decided,Sun Orbit,Sun Orbit,Sinhagad road,Central,To be decided,Medium,160
To be decided,Miami,Miami,Dhayari,South,To be decided,Medium,400
To be decided,Ruturang-Aranyeshwar,Ruturang-Aranyeshwar,Sahakarnagar,Central,To be decided,Medium,150
To be decided,JARVARI,JARVARI,Pimple Saudagar,West,To be decided,Medium,317
To be decided,PARK ROYALE,PARK ROYALE,Pimple Saudagar,West,To be decided,Medium,430
To be decided,BIARITZ 1,BIARITZ 1,Baner,West,To be decided,Medium,200
To be decided,NEA,NEA,Sus,West,To be decided,Medium,200
To be decided,XERBIA,XERBIA,Chakan,North,To be decided,Angel,1200
To be decided,Oval Nest,Oval Nest,Warje,Central,To be decided,Worst,300
To be decided,Rahul Nisarg,Rahul Nisarg,Warje,Central,To be decided,Medium,350
To be decided,Florencia,Florencia,Wakad,West,To be decided,Medium,300
To be decided,Amit Bloomfield,Amit Bloomfield,Ambegaon,South,To be decided,Medium,600
To be decided,Rahul Park A wing,Rahul Park A wing,Warje,Central,To be decided,Worst,87
To be decided,Pristine Fontana,Pristine Fontana,Bavdhan,West,To be decided,Medium,175
To be decided,Vardhamanpura,Vardhamanpura,Bibwewadi,Central,To be decided,Worst,340
To be decided,Pride Aashiyana,Pride Aashiyana,Dhanori,North,To be decided,Medium,450
To be decided,Goodwill 24 CHS,Goodwill 24 CHS,Dhanori,North,To be decided,Medium,250
To be decided,Rahul Park C,Rahul Park C,Warje,Central,To be decided,Worst,100
To be decided,Royal Rahadki Ph1,Royal Rahadki Ph1,Pimple Saudagar,West,To be decided,Medium,500
To be decided,Rose Valley,Rose Valley,Pimple Saudagar,West,To be decided,Medium,300
To be decided,Majestic aqua,Majestic aqua,Phursungi,East,To be decided,Medium,450
